Country,diphtheria_total,measles_total,polio_total,hiv_aids_total
Cook Islands,98.00,0.00,98.00,0.10
Costa Rica,"1,276.00",3.00,"1,119.00",1.60
Croatia,"1,526.00",379.00,"1,528.00",1.60
Cuba,"1,503.00",0.00,"1,579.00",1.60
Cyprus,"1,568.00",31.00,"1,568.00",1.60
Czechia,"1,570.00",367.00,"1,568.00",1.60
Côte d'Ivoire,"1,103.00","27,332.00","1,055.00",75.00
Democratic People's Republic of Korea,"1,332.00","3,561.00","1,572.00",1.60
Democratic Republic of the Congo,670.00,"782,763.00",890.00,29.10
Denmark,"1,408.00",252.00,"1,408.00",1.60
Djibouti,"1,202.00","1,822.00","1,198.00",52.50
Dominica,96.00,0.00,96.00,0.10
Dominican Republic,"1,331.00",368.00,"1,210.00",22.70
Ecuador,"1,427.00",332.00,"1,260.00",3.10
Egypt,"1,547.00","17,108.00","1,547.00",1.60
El Salvador,"1,395.00",2.00,"1,316.00",4.60
Equatorial Guinea,479.00,"4,712.00",590.00,82.20
Eritrea,"1,316.00","2,800.00","1,405.00",19.40
Estonia,"1,506.00",56.00,"1,508.00",1.60
Ethiopia,739.00,"63,174.00",818.00,43.60
Fiji,"1,467.00",800.00,"1,554.00",1.60
Finland,"1,572.00",45.00,"1,555.00",1.60
France,"1,569.00","42,586.00","1,572.00",1.60
Gabon,872.00,"5,597.00",916.00,128.00
Gambia,"1,416.00",660.00,"1,484.00",37.50
Georgia,"1,336.00","20,768.00","1,299.00",1.60
Germany,"1,438.00","23,955.00","1,517.00",1.60
Ghana,"1,182.00","54,716.00","1,263.00",36.60
Greece,"1,546.00",398.00,"1,463.00",1.60
Grenada,"1,530.00",0.00,"1,522.00",1.60
Guatemala,"1,369.00",0.00,"1,143.00",6.00
Guinea,766.00,"24,352.00",839.00,35.10
Guinea-Bissau,"1,044.00","5,301.00","1,196.00",77.10
Guyana,"1,411.00",0.00,"1,404.00",17.00
Haiti,768.00,"1,151.00",861.00,43.80
Honduras,"1,530.00",0.00,"1,526.00",13.10
Hungary,"1,584.00",33.00,"1,583.00",1.60
Iceland,"1,436.00",0.00,"1,436.00",1.60
India,"1,073.00","743,267.00","1,114.00",4.10
Indonesia,"1,158.00","259,919.00",995.00,3.20
Iran (Islamic Republic of),"1,574.00","45,252.00","1,572.00",1.60
Iraq,"1,052.00","55,270.00",890.00,1.60
Ireland,"1,378.00","2,792.00","1,378.00",1.60
Israel,"1,424.00","2,223.00","1,508.00",1.60
Italy,"1,516.00","31,382.00","1,538.00",1.60
Jamaica,"1,429.00",3.00,"1,434.00",19.80
Japan,"1,540.00","110,013.00","1,536.00",1.60
Jordan,"1,552.00",424.00,"1,554.00",1.60
Kazakhstan,"1,543.00","19,951.00","1,560.00",1.60
Kenya,"1,128.00","42,302.00","1,123.00",140.20
Kiribati,"1,199.00",0.00,"1,204.00",1.60
Kuwait,"1,576.00",246.00,"1,571.00",1.60
Kyrgyzstan,"1,545.00","18,506.00","1,534.00",1.80
Lao People's Democratic Republic,984.00,"8,844.00",941.00,3.20
Latvia,"1,520.00",53.00,"1,521.00",1.60
Lebanon,"1,128.00","4,723.00","1,140.00",1.60
Lesotho,"1,271.00","4,267.00","1,087.00",367.50
Liberia,651.00,"11,285.00",951.00,36.50
Libya,"1,544.00","8,757.00","1,544.00",1.60
Lithuania,"1,508.00",239.00,"1,421.00",1.60
Luxembourg,"1,583.00",18.00,"1,569.00",1.60
Madagascar,980.00,"153,219.00",959.00,8.40
Malawi,"1,338.00","120,951.00","1,425.00",266.90
Malaysia,"1,543.00","23,250.00","1,542.00",1.60
Maldives,"1,566.00","2,526.00","1,566.00",1.60
Mali,"1,072.00","13,173.00","1,000.00",29.20
Malta,"1,429.00",35.00,"1,431.00",1.60
Marshall Islands,79.00,0.00,79.00,0.10
Mauritania,962.00,"13,055.00","1,009.00",19.00
Mauritius,"1,541.00",869.00,"1,544.00",1.70
Mexico,"1,520.00",176.00,"1,521.00",1.60
Micronesia (Federated States of),"1,310.00",140.00,"1,318.00",1.60
Monaco,99.00,0.00,99.00,0.10
Mongolia,"1,558.00","33,268.00","1,561.00",1.60
Montenegro,845.00,10.00,843.00,1.60
Morocco,"1,555.00","41,488.00","1,551.00",1.60
Mozambique,"1,025.00","75,760.00","1,104.00",182.20
Myanmar,"1,158.00","14,632.00","1,131.00",7.60
Namibia,"1,336.00","11,553.00","1,256.00",218.30
Nauru,87.00,0.00,87.00,0.10
Nepal,"1,179.00","74,617.00","1,106.00",2.50
Netherlands,"1,549.00","4,031.00","1,549.00",1.60
New Zealand,"1,130.00","1,519.00","1,426.00",1.60
Nicaragua,"1,470.00",0.00,"1,411.00",3.60
Niger,837.00,"247,474.00",847.00,18.60
Nigeria,629.00,"826,463.00",661.00,77.30
Niue,99.00,0.00,99.00,0.10
Norway,"1,407.00",101.00,"1,489.00",1.60
Oman,"1,580.00",174.00,"1,576.00",1.60
Pakistan,"1,134.00","61,477.00","1,027.00",1.60
Palau,99.00,0.00,99.00,0.10
Panama,"1,280.00",4.00,"1,355.00",2.00
Papua New Guinea,"1,094.00","37,598.00","1,001.00",18.70
Paraguay,"1,434.00",0.00,"1,247.00",2.20
Peru,"1,296.00",6.00,"1,325.00",4.70
Philippines,"1,266.00","114,315.00","1,251.00",1.60
Poland,"1,580.00",759.00,"1,548.00",1.60
Portugal,"1,552.00",116.00,"1,544.00",1.60
Qatar,"1,435.00","1,540.00","1,534.00",1.60
Republic of Korea,"1,537.00","56,775.00","1,460.00",1.60
Republic of Moldova,"1,165.00","6,254.00","1,519.00",1.60
Romania,"1,520.00","21,851.00","1,516.00",1.60
Russian Federation,"1,554.00","25,863.00","1,561.00",4.20
Rwanda,"1,430.00","8,094.00","1,416.00",70.80
Saint Kitts and Nevis,96.00,0.00,96.00,0.10
Saint Lucia,"1,341.00",0.00,"1,358.00",2.40
Saint Vincent and the Grenadines,"1,573.00",0.00,"1,566.00",4.50
Samoa,"1,007.00",9.00,916.00,1.60
San Marino,69.00,0.00,69.00,0.10
Sao Tome and Principe,"1,522.00",0.00,"1,449.00",15.50
Saudi Arabia,"1,550.00","12,149.00","1,549.00",1.60
Senegal,"1,253.00","51,980.00","1,207.00",8.50
Serbia,"1,493.00","1,181.00","1,514.00",1.60
Seychelles,"1,576.00",11.00,"1,576.00",1.60
Sierra Leone,"1,154.00","10,782.00","1,148.00",24.30
Singapore,"1,539.00","1,372.00","1,538.00",1.60
Slovakia,"1,578.00",4.00,"1,575.00",1.60
Slovenia,"1,520.00",97.00,"1,523.00",1.60
Solomon Islands,"1,206.00",0.00,"1,404.00",1.60
Somalia,469.00,"87,905.00",477.00,13.40
South Africa,"1,123.00","24,096.00","1,045.00",295.90
South Sudan,235.00,"5,052.00",220.00,59.10
Spain,"1,548.00","7,198.00","1,548.00",1.60
Sri Lanka,"1,575.00","22,727.00","1,574.00",1.60
Sudan,"1,158.00","49,728.00","1,156.00",4.00
Suriname,"1,321.00",0.00,"1,252.00",12.20
Swaziland,"1,340.00",786.00,"1,424.00",527.10
Sweden,"1,573.00",303.00,"1,573.00",1.60
Switzerland,"1,513.00","6,360.00","1,526.00",1.60
Syrian Arab Republic,775.00,"4,731.00","1,037.00",1.60
Tajikistan,"1,428.00","3,331.00","1,413.00",4.10
Thailand,"1,571.00","68,991.00","1,573.00",6.20
The former Yugoslav republic of Macedonia,"1,518.00","1,196.00","1,528.00",1.60
Timor-Leste,899.00,"1,361.00",885.00,1.60
Togo,"1,189.00","8,520.00","1,075.00",61.80
Tonga,"1,125.00",4.00,"1,230.00",1.60
Trinidad and Tobago,"1,064.00",0.00,"1,223.00",10.00
Tunisia,"1,563.00",531.00,"1,563.00",1.60
Turkey,"1,292.00","84,367.00","1,293.00",1.60
Turkmenistan,"1,542.00",242.00,"1,529.00",1.60
Tuvalu,9.00,0.00,9.00,0.10
Uganda,"1,038.00","198,314.00","1,047.00",122.40
Ukraine,"1,120.00","86,323.00","1,303.00",8.60
United Arab Emirates,"1,514.00","1,210.00","1,521.00",1.60
United Kingdom of Great Britain and Northern Ireland,"1,486.00","11,452.00","1,486.00",1.60
United Republic of Tanzania,"1,195.00","53,577.00","1,334.00",116.40
United States of America,"1,522.00","2,090.00","1,314.00",1.60
Uruguay,"1,426.00",0.00,"1,508.00",1.60
Uzbekistan,"1,575.00","3,335.00","1,577.00",3.30
Vanuatu,945.00,334.00,"1,059.00",1.60
Venezuela (Bolivarian Republic of),"1,096.00","2,640.00","1,195.00",1.60
Viet Nam,"1,468.00","67,727.00","1,519.00",2.30
Yemen,"1,162.00","44,179.00","1,074.00",1.60
Zambia,"1,188.00","105,021.00","1,030.00",190.90
Zimbabwe,"1,203.00","14,768.00","1,210.00",372.20
